Age,Salary,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Residence_Type,Previous_Default,Loan_Approved
56,136748,584,38209,36 months,Employed,Owned,Yes,Yes
46,25287,815,27424,24 months,Self-Employed,Rented,No,Yes
32,146593,398,42396,12 months,Unemployed,Rented,Yes,Yes
60,54387,696,11370,24 months,Unemployed,Owned,No,No
25,28512,788,14528,12 months,Employed,Owned,No,No
38,21342,338,33276,12 months,Unemployed,Owned,Yes,Yes
56,83076,570,49333,12 months,Unemployed,Rented,Yes,Yes
36,128872,456,13179,12 months,Employed,Rented,No,No
40,39216,374,21843,48 months,Self-Employed,Mortgage,No,Yes
28,137512,429,28952,24 months,Unemployed,Owned,No,No
28,136682,383,38160,24 months,Employed,Rented,No,Yes
41,113070,321,49898,12 months,Unemployed,Owned,No,No
53,99767,758,34516,12 months,Unemployed,Rented,No,No
57,117829,838,15449,24 months,Unemployed,Owned,Yes,No
41,46614,681,26125,48 months,Unemployed,Rented,No,Yes
20,56258,739,12418,36 months,Employed,Mortgage,No,Yes
39,113789,320,27746,36 months,Employed,Mortgage,No,Yes
19,62078,602,7454,24 months,Employed,Owned,No,Yes
41,126288,383,22761,12 months,Unemployed,Rented,Yes,Yes
61,103524,752,20223,12 months,Unemployed,Rented,Yes,No
47,116573,686,11701,48 months,Unemployed,Owned,No,No
55,32219,806,7597,36 months,Employed,Rented,No,No
19,20235,556,5141,48 months,Unemployed,Owned,No,No
38,62929,826,7659,36 months,Self-Employed,Rented,Yes,No
50,147309,461,25980,24 months,Unemployed,Owned,Yes,No
29,87444,462,14031,36 months,Self-Employed,Rented,Yes,No
39,28567,823,20037,48 months,Unemployed,Owned,Yes,Yes
61,121834,570,43429,48 months,Employed,Rented,Yes,No
42,90792,791,11142,48 months,Unemployed,Mortgage,Yes,Yes
44,85441,507,17109,24 months,Self-Employed,Rented,No,No
59,104555,838,27010,36 months,Self-Employed,Owned,Yes,No
45,93698,359,13787,36 months,Unemployed,Mortgage,Yes,Yes
33,144450,729,47864,48 months,Self-Employed,Rented,No,No
32,137248,608,13472,36 months,Self-Employed,Mortgage,Yes,Yes
64,25415,819,28383,12 months,Employed,Rented,No,No
61,56159,326,9249,12 months,Unemployed,Mortgage,Yes,Yes
20,63925,498,39518,12 months,Unemployed,Owned,No,No
54,146523,686,23351,36 months,Unemployed,Rented,No,Yes
24,25951,648,9088,24 months,Self-Employed,Rented,No,Yes
38,107388,835,20282,24 months,Unemployed,Owned,No,No
26,28007,677,24330,24 months,Unemployed,Mortgage,No,No
56,146730,826,47409,24 months,Employed,Owned,Yes,Yes
35,61832,452,26778,12 months,Employed,Owned,Yes,No
21,78596,505,29264,12 months,Employed,Mortgage,No,Yes
42,141101,754,10075,48 months,Self-Employed,Owned,No,No
31,50523,572,15412,36 months,Unemployed,Rented,No,Yes
26,108861,535,33365,36 months,Employed,Rented,Yes,No
43,144194,820,12230,24 months,Employed,Rented,No,Yes
19,106740,800,16002,12 months,Employed,Owned,No,No
37,35524,416,18947,24 months,Unemployed,Rented,No,Yes
45,149028,685,18686,48 months,Unemployed,Rented,No,Yes
64,39282,643,34304,36 months,Unemployed,Rented,Yes,No
24,43930,694,18074,36 months,Self-Employed,Rented,No,No
61,20077,363,9493,24 months,Self-Employed,Rented,No,Yes
25,125881,371,39228,48 months,Employed,Rented,Yes,Yes
64,145501,573,19140,36 months,Unemployed,Owned,No,Yes
52,40611,619,36655,48 months,Employed,Rented,No,Yes
31,36984,637,48472,48 months,Unemployed,Rented,Yes,No
34,34060,665,11816,24 months,Unemployed,Mortgage,Yes,Yes
53,102985,794,16639,12 months,Unemployed,Owned,Yes,Yes
57,104056,465,34492,24 months,Self-Employed,Owned,No,Yes
21,145329,843,16240,12 months,Self-Employed,Owned,No,No
19,63303,310,37698,48 months,Unemployed,Owned,Yes,Yes
23,79207,600,31957,12 months,Employed,Rented,Yes,No
59,95046,401,37808,48 months,Unemployed,Rented,Yes,No
21,49287,724,10827,36 months,Unemployed,Mortgage,No,No
46,113709,691,37762,36 months,Employed,Mortgage,No,No
35,59711,513,13259,36 months,Unemployed,Owned,Yes,No
43,31954,387,19849,24 months,Employed,Mortgage,No,No
61,93340,700,21232,24 months,Self-Employed,Mortgage,Yes,No
51,92101,345,45572,48 months,Self-Employed,Owned,No,Yes
27,91520,762,29173,36 months,Employed,Owned,No,Yes
53,107062,609,10374,24 months,Self-Employed,Mortgage,No,No
31,122974,385,26174,36 months,Self-Employed,Rented,No,Yes
48,38574,391,28567,24 months,Employed,Mortgage,Yes,Yes
32,29184,541,40292,12 months,Self-Employed,Mortgage,No,No
25,39096,301,14277,12 months,Unemployed,Rented,No,Yes
31,87728,524,36600,36 months,Unemployed,Rented,Yes,No
40,54016,415,14885,48 months,Employed,Owned,No,Yes
57,31246,402,5778,24 months,Self-Employed,Owned,Yes,No
38,65558,493,34165,24 months,Unemployed,Mortgage,Yes,No
33,138721,465,6492,12 months,Unemployed,Rented,No,Yes
62,38381,389,35462,12 months,Self-Employed,Owned,No,Yes
35,147796,421,18615,48 months,Self-Employed,Mortgage,Yes,No
64,56455,442,49900,48 months,Unemployed,Rented,Yes,No
41,112263,405,47946,48 months,Unemployed,Mortgage,Yes,No
43,24018,727,12851,36 months,Employed,Owned,No,Yes
42,31302,604,21288,12 months,Employed,Owned,Yes,Yes
62,87506,616,12156,36 months,Unemployed,Rented,Yes,Yes
58,61157,308,7044,12 months,Employed,Mortgage,Yes,Yes
46,74917,372,12368,12 months,Unemployed,Rented,No,No
32,112738,658,24900,24 months,Unemployed,Owned,Yes,No
62,116646,522,35600,12 months,Employed,Owned,No,No
18,103122,715,30634,12 months,Employed,Mortgage,No,No
42,44519,669,14168,36 months,Self-Employed,Mortgage,Yes,Yes
24,116809,563,25961,12 months,Self-Employed,Mortgage,No,No
26,107487,617,49096,36 months,Self-Employed,Rented,Yes,No
41,76819,383,28852,48 months,Unemployed,Mortgage,No,Yes
18,100910,617,38110,12 months,Employed,Mortgage,No,Yes
61,140430,410,37174,12 months,Unemployed,Owned,Yes,No
25,91324,550,39215,36 months,Employed,Owned,Yes,Yes
41,25408,682,31955,48 months,Unemployed,Mortgage,Yes,No
28,79379,306,11581,24 months,Self-Employed,Mortgage,No,Yes
34,45053,758,49619,48 months,Self-Employed,Owned,No,Yes
25,29446,383,11317,36 months,Self-Employed,Mortgage,Yes,No
52,20922,507,47856,48 months,Unemployed,Rented,Yes,Yes
52,118723,689,31649,36 months,Employed,Rented,No,No
50,71356,613,28132,36 months,Employed,Rented,No,Yes
22,30789,321,21789,24 months,Self-Employed,Mortgage,No,Yes
59,117720,709,19567,12 months,Self-Employed,Owned,Yes,Yes
56,86656,814,19868,36 months,Self-Employed,Mortgage,No,Yes
58,64028,426,29370,36 months,Self-Employed,Mortgage,Yes,Yes
45,84484,313,47533,24 months,Employed,Owned,No,No
24,52154,311,35483,36 months,Unemployed,Owned,No,Yes
26,102870,386,17466,12 months,Unemployed,Owned,Yes,No
25,22336,823,33803,24 months,Unemployed,Rented,Yes,Yes
29,123677,836,23230,12 months,Unemployed,Mortgage,Yes,No
51,87779,600,22862,12 months,Self-Employed,Owned,No,Yes
50,39029,542,48355,24 months,Self-Employed,Mortgage,No,No
40,79201,421,36259,36 months,Self-Employed,Rented,No,No
41,52265,446,38539,12 months,Unemployed,Rented,Yes,Yes
54,122916,655,26909,12 months,Self-Employed,Owned,No,Yes
52,132250,608,35795,12 months,Self-Employed,Owned,Yes,Yes
61,136553,587,13770,12 months,Employed,Mortgage,Yes,No
57,63872,606,16093,24 months,Employed,Owned,Yes,No
39,66197,848,5193,24 months,Self-Employed,Mortgage,No,Yes
44,145733,651,39775,48 months,Employed,Owned,No,Yes
