city,store_name,manufacturer,brand,class,size,sku,price_bracket,year,month,value_sales,volume_sales,average_price
AL BAHA,HM No  57296  GS-CENTER-AL BAHA MAIN RD  AL BAHA,NOVA FOODS,LARA,COCONUT,0.75L,LARA COCONUT 0.75L TWIN PACK,21-30,2024,12,830.86,30.1,27.6
AL KHARJ,HM No  55697  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,PALM & GRAIN GROUP,NAJMA,CANOLA,0.5L,NAJMA CANOLA 0.5L TWIN PACK,41-50,2024,10,373.1,9.1,41.0
RIYADH,HM No  86781  GS-CENTER-RIYADH MAIN RD  RIYADH,AL HILAL INDUSTRIES,BAYTNA,SUNFLOWER,0.75L,BAYTNA SUNFLOWER 0.75L ECO,101+,2023,1,171.7,1.7,101.0
DAMMAM,HM No  95753  GS-CENTER-DAMMAM MAIN RD  DAMMAM,PALM & GRAIN GROUP,NOUR,CORN,0.6L,NOUR CORN 0.6L TWIN PACK,61-70,2022,2,1226.1,20.1,61.0
JAZAN,HM No  56338  GS-CENTER-JAZAN MAIN RD  JAZAN,DESERT SUN CO,NOUR,VEGETABLE,1L,NOUR VEGETABLE 1L,81-90,2024,2,996.3,12.3,81.0
JAZAN,HM No  55164  GS-CENTER-JAZAN MAIN RD  JAZAN,NAJDI CONSUMER,RIMAL,CORN,4L,RIMAL CORN 4L TWIN PACK,21-30,2022,11,1050.0,35.0,30.0
TAIF,HM No  68965  GS-CENTER-TAIF MAIN RD  TAIF,ARABIAN HARVEST CO,HILAL,CANOLA,1.8L,HILAL CANOLA 1.8L PLUS,81-90,2024,6,194.4,2.4,81.0
DAMMAM,HM No  74260  GS-CENTER-DAMMAM MAIN RD  DAMMAM,DESERT SUN CO,HILAL,CORN,9L,HILAL CORN 9L FAMILY PACK,21-30,2024,11,60.0,2.0,30.0
DAMMAM,HM No  85005  GS-CENTER-DAMMAM MAIN RD  DAMMAM,AL HILAL INDUSTRIES,GULF GOLD,SUNFLOWER,1.8L,GULF GOLD SUNFLOWER 1.8L PLUS,91-100,2022,11,673.4,7.4,91.0
HAIL,HM No  53665  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,NAJMA,CORN,1.8L,NAJMA CORN 1.8L PLUS,21-30,2022,10,102.0,3.4,30.0
MAKKAH,HM No  70622  GS-CENTER-MAKKAH MAIN RD  MAKKAH,AL HILAL INDUSTRIES,SABAYA,SUNFLOWER,4.5L,SABAYA SUNFLOWER 4.5L ECO,31-40,2023,3,60.0,1.5,40.0
TAIF,HM No  98823  GS-CENTER-TAIF MAIN RD  TAIF,NAJDI CONSUMER,RIMAL,SUNFLOWER,4L,RIMAL SUNFLOWER 4L ECO,61-70,2022,3,322.0,4.6,70.0
AL KHARJ,HM No  82343  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,ARABIAN HARVEST CO,NAJMA,CANOLA,0.6L,NAJMA CANOLA 0.6L FAMILY PACK,31-40,2024,7,477.4,15.4,31.0
AL AHSA,HM No  54163  GS-CENTER-AL AHSA MAIN RD  AL AHSA,PALM & GRAIN GROUP,RAWABI,VEGETABLE,2.9L,RAWABI VEGETABLE 2.9L PREMIUM,51-60,2024,1,371.6,7.2,51.61
AL BAHA,HM No  97233  GS-CENTER-AL BAHA MAIN RD  AL BAHA,ARABIAN HARVEST CO,BAYTNA,CORN,10L,BAYTNA CORN 10L FAMILY PACK,61-70,2022,5,35.0,0.5,70.0
JAZAN,HM No  60365  GS-CENTER-JAZAN MAIN RD  JAZAN,BLUE OASIS CO,NAJMA,CORN,3L,NAJMA CORN 3L TWIN PACK,91-100,2022,11,183.55,1.9,96.61
TABUK,HM No  91874  GS-CENTER-TABUK MAIN RD  TABUK,AL HILAL INDUSTRIES,GULF GOLD,CORN,10L,GULF GOLD CORN 10L TWIN PACK,91-100,2024,1,2970.0,29.7,100.0
AL AHSA,HM No  71243  GS-CENTER-AL AHSA MAIN RD  AL AHSA,BLUE OASIS CO,NAJMA,CANOLA,1.5L,NAJMA CANOLA 1.5L PLUS,41-50,2022,4,676.5,16.5,41.0
AL AHSA,HM No  55161  GS-CENTER-AL AHSA MAIN RD  AL AHSA,ARABIAN HARVEST CO,SABAYA,CANOLA,10L,SABAYA CANOLA 10L PREMIUM,31-40,2022,11,40.0,1.0,40.0
YANBU,HM No  86031  GS-CENTER-YANBU MAIN RD  YANBU,SAHARA EDIBLES,LARA,VEGETABLE,4L,LARA VEGETABLE 4L ECO,41-50,2024,12,290.0,5.8,50.0
MAKKAH,HM No  63182  GS-CENTER-MAKKAH MAIN RD  MAKKAH,NAJDI CONSUMER,RAWABI,CORN,2.9L,RAWABI CORN 2.9L PREMIUM,81-90,2022,4,550.8,6.8,81.0
TAIF,HM No  54196  GS-CENTER-TAIF MAIN RD  TAIF,DESERT SUN CO,NAJMA,VEGETABLE,3L,NAJMA VEGETABLE 3L TWIN PACK,101+,2022,1,2424.0,24.0,101.0
JEDDAH,HM No  96389  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NOVA FOODS,HILAL,CANOLA,0.2L,HILAL CANOLA 0.2L PLUS,21-30,2024,4,228.9,10.9,21.0
TABUK,HM No  93842  GS-CENTER-TABUK MAIN RD  TABUK,BLUE OASIS CO,HILAL,VEGETABLE,0.6L,HILAL VEGETABLE 0.6L FAMILY PACK,101+,2024,8,737.3,7.3,101.0
TAIF,HM No  80996  GS-CENTER-TAIF MAIN RD  TAIF,PALM & GRAIN GROUP,HILAL,CANOLA,0.5L,HILAL CANOLA 0.5L FAMILY PACK,71-80,2023,7,142.0,2.0,71.0
JAZAN,HM No  80606  GS-CENTER-JAZAN MAIN RD  JAZAN,NOVA FOODS,ZAHRA,CANOLA,1.8L,ZAHRA CANOLA 1.8L FAMILY PACK,61-70,2022,4,908.9,14.9,61.0
TAIF,HM No  62465  GS-CENTER-TAIF MAIN RD  TAIF,BLUE OASIS CO,GULF GOLD,SUNFLOWER,0.6L,GULF GOLD SUNFLOWER 0.6L PLUS,81-90,2022,2,1822.5,22.5,81.0
YANBU,HM No  86066  GS-CENTER-YANBU MAIN RD  YANBU,ARABIAN HARVEST CO,NAJMA,VEGETABLE,0.2L,NAJMA VEGETABLE 0.2L,41-50,2022,7,1045.5,25.5,41.0
YANBU,HM No  81546  GS-CENTER-YANBU MAIN RD  YANBU,AL HILAL INDUSTRIES,RAWABI,CANOLA,0.6L,RAWABI CANOLA 0.6L ECO,11-20$,2023,5,24.39,2.2,11.09
YANBU,HM No  68694  GS-CENTER-YANBU MAIN RD  YANBU,PALM & GRAIN GROUP,BAYTNA,SUNFLOWER,0.6L,BAYTNA SUNFLOWER 0.6L TWIN PACK,51-60,2022,1,198.9,3.9,51.0
AL AHSA,HM No  98217  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,NOUR,CANOLA,0.2L,NOUR CANOLA 0.2L PREMIUM,81-90,2024,9,259.2,3.2,81.0
DAMMAM,HM No  53727  GS-CENTER-DAMMAM MAIN RD  DAMMAM,ARABIAN HARVEST CO,GULF GOLD,CANOLA,4L,GULF GOLD CANOLA 4L,41-50,2023,2,220.0,4.4,50.0
AL AHSA,HM No  66135  GS-CENTER-AL AHSA MAIN RD  AL AHSA,NOVA FOODS,RIMAL,CANOLA,1.8L,RIMAL CANOLA 1.8L FAMILY PACK,101+,2024,9,787.8,7.8,101.0
HAIL,HM No  67089  GS-CENTER-HAIL MAIN RD  HAIL,AL HILAL INDUSTRIES,NOUR,COCONUT,1L,NOUR COCONUT 1L ECO,31-40,2024,11,531.52,16.2,32.81
TABUK,HM No  79964  GS-CENTER-TABUK MAIN RD  TABUK,DESERT SUN CO,ZAHRA,CANOLA,2.9L,ZAHRA CANOLA 2.9L PREMIUM,101+,2022,2,4373.3,43.3,101.0
AL KHARJ,HM No  63969  GS-CENTER-AL KHARJ MAIN RD  AL KHARJ,NAJDI CONSUMER,GULF GOLD,CORN,0.5L,GULF GOLD CORN 0.5L TWIN PACK,61-70,2023,3,134.2,2.2,61.0
YANBU,HM No  85600  GS-CENTER-YANBU MAIN RD  YANBU,NAJDI CONSUMER,RIMAL,VEGETABLE,0.2L,RIMAL VEGETABLE 0.2L FAMILY PACK,91-100,2023,11,1537.9,16.9,91.0
JEDDAH,HM No  58800  GS-CENTER-JEDDAH MAIN RD  JEDDAH,NAJDI CONSUMER,ZAHRA,CANOLA,9L,ZAHRA CANOLA 9L PREMIUM,31-40,2023,5,524.0,13.1,40.0
AL AHSA,HM No  63803  GS-CENTER-AL AHSA MAIN RD  AL AHSA,DESERT SUN CO,HILAL,CORN,3L,HILAL CORN 3L ECO,51-60,2022,2,48.0,0.8,60.0
