Crop_Type,Temperature_C,Humidity_Percent,Soil_Moisture_Percent,Days_Since_Watering,Plant_Health_Score,Plant_Health_Status
Rice,30.0,57.6,57.9,2,47.0,Stressed
Tomato,31.0,71.4,23.1,5,12.9,Stressed
Soybeans,23.2,57.2,25.8,7,24.4,Stressed
Tomato,24.1,56.1,13.2,7,12.5,Stressed
Tomato,22.4,74.0,48.1,5,43.5,Stressed
Corn,29.9,49.6,59.0,2,43.8,Stressed
Soybeans,25.4,44.7,56.2,4,42.0,Stressed
Soybeans,16.6,69.8,81.7,1,55.0,Moderate
Soybeans,27.4,62.5,47.3,3,30.6,Stressed
Tomato,33.9,62.3,40.9,3,15.3,Stressed
Rice,34.4,54.7,28.2,4,9.7,Stressed
Soybeans,22.1,68.9,66.2,2,50.9,Moderate
Tomato,20.8,39.4,60.1,4,42.6,Stressed
Corn,36.4,30.9,27.5,4,3.1,Stressed
Rice,34.4,54.0,16.8,6,4.6,Stressed
Corn,27.8,69.4,30.1,5,23.6,Stressed
Rice,14.7,78.7,89.5,1,46.7,Stressed
Tomato,21.4,68.2,42.7,5,31.2,Stressed
Wheat,18.4,46.2,68.8,3,43.3,Stressed
Rice,35.9,46.3,32.9,4,11.9,Stressed
Corn,15.8,78.2,53.0,5,28.0,Stressed
Tomato,35.8,73.6,50.6,2,26.0,Stressed
Rice,24.4,68.2,33.9,7,40.8,Stressed
Wheat,17.8,73.8,69.2,3,51.7,Moderate
Wheat,30.9,62.5,53.4,2,35.8,Stressed
Soybeans,28.8,56.9,18.9,7,15.3,Stressed
Soybeans,17.4,57.6,88.0,2,55.7,Moderate
Corn,24.8,69.6,74.5,2,60.4,Moderate
Rice,33.3,63.6,36.7,3,11.3,Stressed
Rice,22.5,30.5,29.6,6,17.2,Stressed
Soybeans,35.1,73.2,9.4,6,0.0,Stressed
Rice,20.5,68.8,30.1,7,16.0,Stressed
Rice,15.3,64.9,52.4,5,20.5,Stressed
Wheat,25.3,81.1,46.1,5,32.3,Stressed
Soybeans,16.2,47.9,83.0,0,52.0,Moderate
Tomato,25.7,44.0,61.4,3,44.7,Stressed
Soybeans,25.0,67.5,66.0,3,56.5,Moderate
Tomato,20.4,48.6,86.2,0,56.7,Moderate
Wheat,36.3,85.0,11.1,5,0.0,Stressed
Corn,25.0,49.6,72.7,2,56.5,Moderate
Rice,30.2,49.2,34.6,5,16.1,Stressed
Wheat,30.6,54.0,25.2,6,16.8,Stressed
Rice,35.6,55.5,49.8,2,26.4,Stressed
Corn,17.7,54.5,88.2,0,60.9,Moderate
Corn,14.5,56.1,69.1,3,44.7,Stressed
Wheat,35.3,54.6,63.7,0,32.0,Stressed
Corn,28.5,36.7,52.5,3,29.3,Stressed
Tomato,25.8,67.6,36.6,5,26.7,Stressed
Corn,24.2,53.5,51.7,3,46.4,Stressed
Rice,23.1,57.7,28.6,6,19.2,Stressed
Rice,30.2,41.8,31.0,6,19.7,Stressed
Rice,16.3,37.1,69.1,4,39.5,Stressed
Rice,27.9,58.6,59.9,2,41.3,Stressed
Tomato,31.2,83.3,5.0,8,0.0,Stressed
Soybeans,29.5,82.8,47.6,3,32.4,Stressed
Wheat,24.6,46.4,30.1,6,17.4,Stressed
Rice,25.0,48.9,23.5,7,23.1,Stressed
Corn,32.7,62.6,35.9,4,12.8,Stressed
Rice,28.5,20.0,11.7,7,9.5,Stressed
Corn,35.5,51.2,51.7,1,27.0,Stressed
Corn,14.5,63.3,69.5,4,43.3,Stressed
Rice,30.4,56.6,32.0,5,23.9,Stressed
Tomato,20.1,31.5,48.5,5,32.5,Stressed
Corn,24.6,32.6,41.0,4,25.3,Stressed
Corn,33.3,38.5,37.7,4,18.2,Stressed
Rice,19.0,58.8,72.4,2,41.4,Stressed
Corn,37.7,47.5,36.8,3,16.6,Stressed
Corn,31.6,83.4,43.3,4,32.4,Stressed
